ind,author,changed_rows,file_name
1,meeday,3,config/passport.js
1,meeday,0,lib.js
1,meeday,16,middleware/auth.js
1,meeday,2,models/Recipe.js
1,meeday,2,models/User.js
1,meeday,32,css/style.css
2,phillidp1989,0,lib.js
2,phillidp1989,0,routes/user-api-routes.js
3,phillidp1989,6,js/search-handlers.js
4,phillidp1989,2,routes/handlebar-routes.js
5,phillidp1989,2,views/error.handlebars
6,phillidp1989,3,views/error.handlebars
6,phillidp1989,3,views/member.handlebars
6,phillidp1989,4,views/recipe.handlebars
7,phillidp1989,3,views/dashboard.handlebars
8,phillidp1989,2,views/dashboard.handlebars
9,phillidp1989,10,routes/recipe-api-routes.js
10,phillidp1989,258,js/script.js
11,phillidp1989,32,css/style.css
12,phillidp1989,2,models/Recipe.js
12,phillidp1989,2,models/User.js
13,phillidp1989,16,middleware/auth.js
14,phillidp1989,3,config/passport.js
15,niroshanwitharana,0,README.md
16,niroshanwitharana,2,css/style.css
17,niroshanwitharana,10,css/style.css
17,niroshanwitharana,2,js/script.js
17,niroshanwitharana,4,routes/handlebar-routes.js
17,niroshanwitharana,112,routes/recipe-api-routes.js
17,niroshanwitharana,11,views/dashboard.handlebars
17,niroshanwitharana,128,views/error.handlebars
18,niroshanwitharana,10,css/style.css
18,niroshanwitharana,2,js/script.js
18,niroshanwitharana,4,routes/handlebar-routes.js
18,niroshanwitharana,112,routes/recipe-api-routes.js
18,niroshanwitharana,11,views/dashboard.handlebars
18,niroshanwitharana,128,views/error.handlebars
19,meeday,10,css/style.css
19,meeday,2,js/script.js
19,meeday,4,routes/handlebar-routes.js
19,meeday,112,routes/recipe-api-routes.js
19,meeday,11,views/dashboard.handlebars
19,meeday,128,views/error.handlebars
20,phillidp1989,4,css/style.css
20,phillidp1989,2,views/error.handlebars
21,phillidp1989,132,views/recipe.handlebars
22,phillidp1989,128,views/error.handlebars
23,phillidp1989,11,views/dashboard.handlebars
24,phillidp1989,112,routes/recipe-api-routes.js
25,phillidp1989,4,routes/handlebar-routes.js
26,phillidp1989,2,js/script.js
27,phillidp1989,6,css/style.css
28,niroshanwitharana,5,css/style.css
28,niroshanwitharana,2,views/recipe.handlebars
29,niroshanwitharana,0,README.md
30,niroshanwitharana,2,css/style.css
31,niroshanwitharana,19,css/style.css
31,niroshanwitharana,19,js/script.js
31,niroshanwitharana,1,js/search-handlers.js
31,niroshanwitharana,2,routes/recipe-api-routes.js
31,niroshanwitharana,69,views/dashboard.handlebars
31,niroshanwitharana,5,views/member.handlebars
31,niroshanwitharana,72,views/recipe.handlebars
32,niroshanwitharana,2,js/script.js
33,niroshanwitharana,9,css/style.css
34,meeday,19,css/style.css
34,meeday,19,js/script.js
34,meeday,1,js/search-handlers.js
34,meeday,2,routes/recipe-api-routes.js
34,meeday,69,views/dashboard.handlebars
34,meeday,5,views/member.handlebars
34,meeday,72,views/recipe.handlebars
35,phillidp1989,69,views/dashboard.handlebars
35,phillidp1989,5,views/member.handlebars
36,phillidp1989,2,js/search-handlers.js
37,phillidp1989,19,js/script.js
38,phillidp1989,19,css/style.css
39,phillidp1989,2,js/script.js
39,phillidp1989,1,js/search-handlers.js
39,phillidp1989,2,routes/recipe-api-routes.js
39,phillidp1989,72,views/recipe.handlebars
40,meeday,57,css/style.css
40,meeday,54,js/script.js
40,meeday,4,routes/recipe-api-routes.js
40,meeday,26,views/dashboard.handlebars
40,meeday,2,views/member.handlebars
40,meeday,33,views/recipe.handlebars
41,meeday,4,css/style.css
41,meeday,19,js/search-handlers.js
41,meeday,127,views/member.handlebars
42,meeday,4,css/style.css
42,meeday,19,js/search-handlers.js
42,meeday,127,views/member.handlebars
43,abc-1211,2,views/recipe.handlebars
44,abc-1211,17,js/search-handlers.js
45,abc-1211,46,views/recipe.handlebars
46,abc-1211,1,views/recipe.handlebars
47,abc-1211,3,views/member.handlebars
48,abc-1211,145,views/recipe.handlebars
49,abc-1211,17,css/style.css
49,abc-1211,0,images/burger-background.jpg
50,phillidp1989,7,js/script.js
50,phillidp1989,13,routes/recipe-api-routes.js
50,phillidp1989,0,routes/recipe-controller.js
50,phillidp1989,13,utils/axios.js
50,phillidp1989,0,partials/_recipe-list.handlebars
50,phillidp1989,12,views/recipe.handlebars
